transactionNo,customerId,customerName,invoiceNo,transactionDate,grossAmount,discountAmount,refundAmount,isRefund,period
TXN-5001,CUST-001,Anand Textiles,INV-3001,2026-07-05,10000,500,0,false,2026-07
TXN-5002,CUST-002,Bala Traders,INV-3002,2026-07-08,25000,9000,0,false,2026-07
TXN-5003,CUST-003,Chera Retail,INV-3003,2026-07-10,7000,300,0,false,2026-07
TXN-5004,CUST-004,Deepam Foods,INV-3004,2026-07-12,18000,600,0,false,2026-07
TXN-5005,CUST-002,Bala Traders,INV-3005,2026-07-14,12000,400,0,false,2026-07
TXN-5006,CUST-005,Esperanza Corp,INV-3006,2026-07-15,20000,0,9000,true,2026-07
TXN-5007,CUST-005,Esperanza Corp,INV-3007,2026-07-18,15000,0,7000,true,2026-07
TXN-5008,CUST-005,Esperanza Corp,INV-3008,2026-07-20,9000,0,3000,true,2026-07
TXN-5009,CUST-006,Falcon Logistics,INV-3009,2026-07-22,16000,500,0,false,2026-07
TXN-5010,CUST-007,Ganga Pharma,INV-3010,2026-07-25,11000,300,0,false,2026-07
